index,title,author,year
160,Autocad Pocket Reference,Cheryl R. Shrock,2006
161,"The Advantage Series: Microsoft Office Word 2003, Brief Edition, 1 edition","Glen Coulthard,Sarah Hutchinson-Clifford,Ann Miller",2003
162,Canis Canem Edit Signature Series Guide,,2006
163,Guide to Internet Programming with Sockets,Tim Moors,2006
164,"Learning Computer Fundamentals, MS Office, Internet, and Web Technology",Dinesh Maldasani,2005
165,Hbj's Macprep for the Sat: Macintosh/User Manual & 3 128K Diskettes (Hbj Computer Test Preparation Series),,1985
166,Tony Hawk's Pro Skater 2x Official Strategy Guide,Doug Walsh,2001
167,"System Analysis and Modeling: 4th International SDL and MSC Workshop, SAM 2004, Ottawa, Canada, June 1-4, 2004, Revised Selected Papers (Lecture Notes in Computer Science)","Daniel Amyot,Alan W. Williams",2005
168,Syphon Filter (Prima's Official Strategy Guide),"Richard Dal Porto,Kevin Sakamoto,Don Tica",1999
169,Fusionplex: resolution of data inconsistencies in the integration of heterogeneous information sources,"Amihai Motro,Philipp Anokhin",2006
170,Instant Surround Sound Audio,Jeffrey P. Fisher,2004
171,Game Theory for Wireless Engineers (Synthesis Lectures on Communications),"Allen B. MacKenzie,Luiz A. DaSilva",2006
172,How to Do Just about Anything in Microsoft Excel,,2004
173,Principles of Foundation Engineering,Braja M. Das,2006
174,"CCSP: Complete Study Guide (642-501, 642-511, 642-521, 642-531, 642-541)","Todd Lammle,Wade Edwards,Tom Lancaster,Justin Menga,Eric Quinn,Jason Rohm,Carl Timm,Bryant Tow",2005
175,Maran Illustrated Jewelry and Beading,Ruth Maran,2007
176,The Comprehensive NCLEX-RN Review,Patricia A. Hoefler,1998
177,New Trends in Software Process Modelling (Software Engineering and Knowledge Engineering) (Series on Software Engineering and Knowledge Engineering),"Silvia T. Acuna,Maria I. Sanchez-segura",2006
178,"Information Security And Employee Behaviour: How to Reduce Risk Through Employee Education, Training And Awareness",Angus Mcilwraith,2006
179,"Recent Advances in Intrusion Detection: 6th International Symposium, RAID 2003, Pittsburgh, PA, USA, September 8-10, 2003, Proceedings (Lecture Notes in Computer Science)","Giovanni Vigna,Erland Jonsson,Christopher Kruegel",2004
180,Conference on numerical methods for constrained optimization,J. A. Grant,1975
181,The Definitive Guide to the Microsoft Enterprise Library,Keenan Newton,2007
182,GIS for Environmental Management,Robert Scally,2006
183,Future Hype: The Myths of Technology Change,Bob Seidensticker,2006
184,Microsoft Project,,2006
185,"NIV Study Bible Complete Library for Windows, The",,1998
186,3-D Tutor: The Complete 3-D Starter Kit Macintosh Edition/Boxed Cd-Rom,,1994
187,"PC World, August 2006 Issue",,2006
188,A mixture of experts committee machine to design compensators for intensity modulated radiation therapy,"J. H. Goodband,O. C. L. Haas,J. A. Mills",2006
189,Indie Fonts 2: A Compendium of Digital Type from Independent Foundries,"Richard Kegler,James Grieshaber,Tamye Riggs",2005
190,Java Concepts,Cay S. Horstmann,2006
191,Graph Algrithms And Applications 4,Giuseppe Liotta,2006
192,A Framework for Adaptive Wavelet Prediction in Self-Sizing Networks,"Srikant Nalatwad,Michael Devetsikiotis",2006
193,World Religions Reference Library Primary Sources (World Religions Reference Library),"Sydney J. Jones,Michael O'Neal,Neil Schlager,Jayne Weisblatt",2006
194,Analysis and Design of Pipeline Analog-to-Digital Converters,Yun Chiu,2007
195,The Legend of Zelda - Twilight Princess (GameCube Version) (Prima Authorized Game Guide),"David Hodgson,Stephen Stratton",2006
196,Soft Methodology and Random Information Systems (Advances in Soft Computing),"Miguel López-Díaz,Maria A. Gil,Przemyslaw Grzegorzewski,Olgierd Hryniewicz,Jonathan Lawry",2004
197,"Personal Wireless Communications: IFIP TC6 9th International Conference, PWC 2004, Delft, The Netherlands, September 21-23, 2004, Proceedings (Lecture Notes in Computer Science)","Ignas Niemeegers,Sonia Heemstra de Groot",2004
198,Becoming a virtual organism to learn about genetics,Alexander Bick,2006
199,Fireworks 8,Maria Guadalupe Arambula Lariz,2006
200,The Comprehensive NCLEX-PN Review on CD-ROM,Patricia A. Hoefler,1999
201,Problems and Solutions of Operating Systems,V. Saxena,2004
202,Student S/G Criminal Law,,2005
203,Special Edition Using Microsoft Office Word 2003,"Bill Camarda,Neil Randall",2003
204,Photoshop CS2 for the Web Essential Training,Tanya Staples,2005
205,Issues And Trends in Technology And Human Interaction (Advances in Technology and Human Interaction Series) (Advances in Technology and Human Interaction Series),Bernd Carsten Stahl,2006
206,"Master Data Management and Customer Data Integration for a Global Enterprise, 1 edition","Alex Berson,Larry Dubov",2007
207,Secret Codes 2007 (Secret Codes),,2006
208,"CD-Rom Data Banks in Germany: A Strategic Entry Report, 1997 (Strategic Planning Series)",,2005
209,Data Structures in Java: From Abstract Data Types to the Java Collections Framework,Simon Gray,2006
210,Understanding Coverbal Ionic Gestures in Shape Descriptions,T. Sowa,2006
211,Computer Security And Telerobotics for Everyone,Doherty Eamon Patrick,2005
212,A Practical Introduction to Microsoft Office XP (BP),David Weale,2003
213,RPG Maker 2 (Prima's Official Strategy Guide),,2003
214,Microsoft Works 2.0: Easy Reference Guide/Macintosh,"Laura Bement,Cheryl Boche",1993
215,Over-the-Road Wireless For Dummies (For Dummies (Computer/Tech)),E. Phil Haley,2006
216,Problem Solving and Program Design in C (5th Edition),"Jeri R. Hanly,Elliot B. Koffman",2006
217,Poser 7 Revealed: The efrontier Official Guide,Kelly L Murdock,2006
218,"A Mathematical Treatment of Economic Cooperation and Competition Among Nations, with Nigeria, USA, UK, China, and the Middle East Examples, Volume 203 (Mathematics in Science and Engineering)",Ethelbert N. Chukwu,2005
219,Microsoft Word 2002 Basics,Pamela W. Adams,2003
220,Macromedia Director Design Guide/Book and Cd-Rom for Windows,"Lee Swearingen,Cathy Clarke",1996
221,"Passive and Active Network Measurement: 6th International Workshop, PAM 2005, Boston, MA, USA, March 31 - April 1, 2005, Proceedings (Lecture Notes in Computer Science)",Constantinos Dovrolis,2005
222,Cinema 4D 10 Handbook,Anson Call,2007
223,Data Mining,,2004
224,CCNA Exam Cram 2 (2nd Edition) (Exam Cram 2),Michael J. Shannon,2005
225,ALP: Efficient support for all levels of parallelism for complex media applications,"Ruchira Sasanka,Man-Lap Li,Sarita V. Adve,Yen-Kuang Chen,Eric Debes",2007
226,The iPod & iTunes Pocket Guide (Secrets of...),Christopher Breen,2005
227,Hybrid Estimation of Complex Systems (Lecture Notes in Control and Information Sciences),Michael W. Hofbaur,2005
228,What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry,John Markoff,2006
229,"Cost-Benefit Analysis And Evolutionary Computing: Optimal Scheduling of Interactive Road Projects (Transport Economics, Management and Policy)","John H. E. Taplin,Min Qiu,Renlong Han",2005
230,Accuracy study of the IDO scheme by Fourier analysis,"Yohsuke Imai,Takayuki Aoki",2006
231,Special issue dedicated to Professor Yasunori Fujikoshi,,2006
232,World Trade Organization (Wto) Trade Policy Review 1998 Cd (1995 - 1997,Bernan Press,1999
233,Over the Hedge Official Strategy Guide (Official Strategy Guides (Bradygames)),,2006
234,Symmetry breaking ordering constraints: Thesis,Zeynep Kiziltan,2004
235,Programming Microsoft Infopath: A Developer's Guide (Programming Series),Thom Robbins,2006
236,Crafting a Compiler,Charles N. Fischer,2007
237,"Object-Oriented PHP: Concepts, Techniques, and Code",Peter Lavin,2006
238,"New Perspectives on Microsoft Office Excel 2003, Brief, CourseCard Edition (New Perspectives)","June Jamrich Parsons,Dan Oja,Roy Ageloff,Partrick Carey",2005
239,SuSe Linux 9.0 Adminsitration Guide,Frank Boddammer,2003
240,Analysis methodology a: selection procedures I,,2006
241,Incremental window-based protein sequence alignment algorithms,"Huzefa Rangwala,George Karypis",2007
242,Maximum PC Guide to Extreme PC Mods (Maximum PC Guide To...),"Paul Capello,Jon Phillips",2004
243,Keynote for Mac OS X (Visual QuickStart Guide),Tom Negrino,2003
244,"Microsoft Office XP,Enhanced Edition Illustrated Introductory (Illustrated)","David Beskeen,Jennifer Duffy,Lisa Friedrichsen,Elizabeth Eisner Reding",2003
245,Rosenbrock-type 'Peer' two-step methods,"H. Podhaisky,R. Weiner,B. A. Schmitt",2005
246,Simulation-based scheduling: simulation-based scheduling III,,2006
247,Digital Camcorder Technique,Peter Wells,2006
248,Autodesk Revit 7.0 Basics: Architectural Modeling and Documentation,Elise Moss,2005
249,Firmware/hardware support for operating systems: principles and selected history,Gary H. Sockut,1975
250,Science and Engineering Programs for the Macintosh,Cass Lewart,1986
251,Netzwerke Fur Dummies (Fur Dummies S.),D. Lowe,2005
252,"A+ Practice Questions Exam Cram (Exams 220-401, 220-402) (2nd Edition) (Exam Cram 2)",Charles J. Brooks,2007
253,"Advances in Knowledge Discovery and Data Mining: 8th Pacific-Asia Conference, PAKDD 2004, Sydney, Australia, May 26-28, 2004, Proceedings (Lecture Notes ... / Lecture Notes in Artificial Intelligence)","Honghua Dai,Ramakrishnan Srikant,Chengqi Zhang",2004
254,"Design to Sell: Use Microsoft Publisher to Plan, Write and Design Great Marketing Pieces (Bpg-Other)",Roger C. Parker,2006
255,Military applications: military aerospace application,,2006
256,Discrete-event simulation of queues with spreadsheets: a teaching case,"Marco Aurélio de Mesquita,Alvaro Euzebio Hernandez",2006
257,Security and Protection in Information Processing Systems (IFIP International Federation for Information Processing),"Yves Deswarte,Frederic Cuppens,Sushil Jajodia,Lingyu Wang",2004
258,A new class of coherent risk measures based on p-norms and their applications: Research Articles,"Zhiping Chen,Yi Wang",2007
259,Efficient approximate planning in continuous space Markovian Decision Problems,Csaba Szepesvári,2001
260,Programming in Visual Basic.Net,Julia Case Bradley,2006
261,Secrets For Selling On Ebay For Big Profits,Sydney Johnston,2006
262,Thief Gold: Prima's Official Strategy Guide,Michael Patrick Brown,1999
263,Expertise Out of Context: Proceedings of the Sixth International Conference on Naturalistic Decision Making (Expertise: Research and Applications Series),Robert R. Hoffman,2007
264,PHP e MySQL: Desenvolvimento Web,"Luke Welling,Laura Thomson",2005
265,Dreamweaver 8: The Missing Manual,David Sawyer McFarland,2005
266,An exploration of the categories associated with ICT project sustainability in rural areas of developing countries: a case study of the Dwesa project,"Caroline I. Pade,Brenda Mallinson,David Sewry",2006
267,MRP Rescheduling heuristics with capacity extension under deterministic demand,"Chao Rong,Katsuhiko Takahashi,Katsumi Morikawa",2006
268,Computer Simulations in Condensed Matter Systems: From Materials to Chemical Biology. Volume 2 (Lecture Notes in Physics),"Mauro Ferrario,Giovanni Ciccotti,Kurt Binder",2006
269,Congo for Macintosh,,1995
270,Digital Signal and Image Processing Using MATLAB (Digital Signal and Image Processing series),"Gerard Blanchet,Maurice Charbit",2006
271,Fotografia Digital Avanzada/ Perfect Digital Photography (Diseno Y Creatividad / Design and Creativity),"Jay Kinghorn,Jay Dickman",2006
272,Official QuarkXPress Handbook (Macintosh 3.3 ed): Mac 3.3 ed,Diane Burns,1994
273,"Wiley Cpa Examination Review Practice Software 8.0: Complete Exam : Accounting and Reporting, Auditing, Business Law and Professional Responsibilities, Financial Accounting and Reporting","Patrick R. Delaney,O. Ray Whittington",2003
274,Large area micro hot embossing of Pyrex glass with GC mold machined by dicing,"Masaharu Takahashi,Yoichi Murakoshi,Ryutaro Maeda,Kohei Hasegawa",2006
275,A hybrid approach for fabrication of polymeric BIOMEMS devices,"Varshni Singh,Yohannes Desta,Proyag Datta,Jason Guy,Mark Clarke,Daniel L. Feedback,J. Weimert,Jost Goettert",2006
276,Basics Design: Print and Finish (Basics Design),"Gavin Ambrose,Paul Harris",2006
277,If Elephants Wore Trousers,"Henriette Barkow,Richard Johnson",2005
278,Agency and the Semantic Web,Christopher Walton,2006
279,The Essential Online Solution: The 5-Step Formula for Small Business Success,"Rick Segel,Barbara Callan-Bogia",2006
280,"Handbook of Image and Video Processing (Communications, Networking and Multimedia)",Alan C. Bovik,2005
281,Star Wars Battlefront II (Prima Official Game Guide),Michael Knight,2005
282,Protected systems in general systems theory,A. A. Ponomaryov,2006
283,Using Xml: A How-to-do-it Manual for Librarians,Kwong B. Ng,2007
284,Apple Computer Resources in Special Education and Rehabilitation,,1987
